"ContDmgFnId","Default","Occupancy","Source","Description","ft04m","ft03m","ft02m","ft01m","ft00","ft01","ft02","ft03","ft04","ft05","ft06","ft07","ft08","ft09","ft10","ft11","ft12","ft13","ft14","ft15","ft16","ft17","ft18","ft19","ft20","ft21","ft22","ft23","ft24","Comment"
128,,"COM1 ","USACE - Galveston","Hardware, contents (Inventory)",0,0,0,0,8,33,52,70,75,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NULL"
129,,"COM1 ","USACE - Galveston","Hobby Shop, contents (Equipment)",0,0,0,0,0,56,87,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,"NULL"
130,,"COM1 ","USACE - Galveston","Hobby Shop, contents (Inventory)",0,0,0,0,0,25,49,64,77,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NULL"
131,,"COM1 ","USACE - Galveston","Lawnmower, contents (Equipment)",0,0,0,0,0,3,24,46,57,65,72,79,86,91,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,"NULL"
132,,"COM1 ","USACE - Galveston","Lawnmower, contents (Inventory)",0,0,0,0,0,10,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NULL"
133,,"COM1 ","USACE - Galveston","Liquor Store, contents (Equipment)",0,0,0,0,0,2,4,9,16,84,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NULL"
134,,"COM1 ","USACE - Galveston","Liquor Store, contents (Inventory)",0,0,0,0,0,20,40,60,81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NULL"
135,,"COM1 ","USACE - Galveston","Meat Market, contents (Equipment)",0,0,0,0,0,78,81,84,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NULL"
136,,"COM1 ","USACE - Galveston","Meat Market, contents (Inventory)",0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NULL"
137,,"COM1 ","USACE - Galveston","Motorcycle Dealer, contents (Equipment)",0,0,0,0,0,30,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NULL"
138,,"COM1 ","USACE - Galveston","Motorcycle Dealer, contents (Inventory)",0,0,0,0,0,25,45,65,85,85,85,85,85,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,"NULL"
139,,"COM1 ","USACE - Galveston","Music Center, contents (Equipment)",0,0,0,0,0,40,52,72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NULL"
140,,"COM1 ","USACE - Galveston","Music Center, contents (Inventory)",0,0,0,0,0,66,72,75,80,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NULL"
141,,"COM1 ","USACE - Galveston","Plant Nursery, contents (Equipment)",0,0,0,0,0,4,4,8,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NULL"
142,,"COM1 ","USACE - Galveston","Plant Nursery, contents (Inventory)",0,0,0,0,0,5,20,79,88,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NULL"
143,,"COM1 ","USACE - Galveston","Paint Store, contents (Equipment)",0,0,0,0,0,0,20,25,30,35,40,45,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,"NULL"
144,,"COM1 ","USACE - Galveston","Paint Store, contents (Inventory)",0,0,0,0,0,0,20,40,60,70,73,76,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,"NULL"
145,,"COM1 ","USACE - Galveston","Pawn Shop, contents (Equipment)",0,0,0,0,0,0,0,0,0,40,60,70,70,70,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,"NULL"
146,,"COM1 ","USACE - Galveston","Pawn Shop, contents (Inventory)",0,0,0,0,0,20,40,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,"NULL"
147,,"COM1 ","USACE - Galveston","Remnant Shop, contents (Equipment)",0,0,0,0,0,0,40,40,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,80,80,80,80,80,80,"NULL"
148,,"COM1 ","USACE - Galveston","Remnant Shop, contents (Inventory)",0,0,0,0,0,0,20,40,60,80,90,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NULL"
149,,"COM1 ","USACE - Galveston","Service Station, contents (Equipment)",0,0,0,0,0,6,39,59,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NULL"
150,,"COM1 ","USACE - Galveston","Service Station, contents (Inventory)",0,0,0,0,0,25,42,62,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NULL"
151,,"COM1 ","USACE - Galveston","Shoe Repair, contents (Equipment)",0,0,0,0,0,10,20,28,38,41,44,47,47,47,47,47,50,50,50,50,50,50,50,50,50,50,50,50,50,"NULL"
152,,"COM1 ","USACE - Galveston","Shoe Repair, contents (Inventory)",0,0,0,0,0,10,23,35,48,60,74,87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NULL"
153,,"COM1 ","USACE - Galveston","Toy Store, contents (Inventory)",0,0,0,0,10,20,40,70,85,90,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NULL"
154,,"COM1 ","USACE - Galveston","Tractor Sales, contents (Equipment)",0,0,0,0,0,2,4,18,28,36,44,48,52,56,60,65,70,74,79,84,88,93,97,100,100,100,100,100,100,"NULL"
155,,"COM1 ","USACE - Galveston","Tractor Sales, contents (Inventory)",0,0,0,0,0,6,17,29,44,59,70,77,81,84,88,92,95,99,100,100,100,100,100,100,100,100,100,100,100,"NULL"
156,,"COM1 ","USACE - Galveston","Trailer Sales, contents (Inventory)",0,0,0,0,0,18,37,60,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NULL"
157,,"COM1 ","USACE - Galveston","Trophy Shop, contents (Equipment)",0,0,0,0,0,23,35,38,56,60,60,60,60,60,61,62,64,66,68,71,76,84,100,100,100,100,100,100,100,"NULL"
158,,"COM1 ","USACE - Galveston","Trophy Shop, contents (Inventory)",0,0,0,0,0,1,5,12,31,66,82,92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NULL"
159,,"COM1 ","USACE - Galveston","Upholstery Shop, contents (Equipment)",0,0,0,0,0,10,10,10,10,10,30,35,40,45,50,60,60,60,60,60,60,60,60,60,60,60,60,60,60,"NULL"
160,,"COM1 ","USACE - Galveston","Upholstery Shop, contents (Inventory)",0,0,0,0,0,25,30,40,45,50,53,56,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,"NULL"
161,,"COM1 ","USACE - Galveston","Used Appliances/Cloth, contents (Equipment)",0,0,0,0,0,20,40,50,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,"NULL"
162,,"COM1 ","USACE - Galveston","Used Appliances/Cloth, contents (Inventory)",0,0,0,0,0,25,35,40,50,60,80,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NULL"
163,,"COM1 ","USACE - Galveston","Used Furniture, contents (Equipment)",0,0,0,0,0,0,0,0,20,40,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,"NULL"
164,,"COM1 ","USACE - Galveston","Used Furniture, contents (Inventory)",0,0,0,0,0,0,10,30,45,65,80,80,85,85,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,"NULL"
165,,"COM1 ","USACE - Galveston","Vacuum Cleaner Sales, contents (Equipment)",0,0,0,0,0,0,20,25,30,35,40,40,40,60,60,60,60,80,80,80,80,80,80,80,80,80,80,80,80,"NULL"
166,,"COM1 ","USACE - Galveston","Vacuum Cleaner Sales, contents (Inventory)",0,0,0,0,0,70,80,90,95,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NULL"
