ID,Incomplete,Demand-Type,Demand-Unit,Demand-Offset,Demand-Directional,LS1-Family,LS1-Theta_0,LS1-Theta_1,Meta-Description,Meta-Comments,Meta-SuggestedComponentBlockSize,Meta-RoundUpToIntegerQuantity,Meta-Reference,Meta-LimitStates-LS1-DS1-Description
RWC.toe_nail.straps.006,0,Peak Internal Force,kN,0,1,normal,13.41,0.09,Roof-Wall Connection with Toe nails and a large strap outside,"This connection (Test Series 7) consisted of three 8d common toenails between the rafter and top plate, combined with a large 18-gauge galvanized steel strap secured with eight short 8d common nails into the rafter and eight 8d common nails into the top plate. Importantly, the rafter was sandwiched between two small flanges bent from the metal plate. Materials included Southern yellow pine double top plates and Southern yellow pine or spruce-pine-fir rafters (#2 grade) at a 3:12 pitch. The predominant failure mode observed for this configuration was nail pullout of the top plate. 

LIMITATIONS: These results are derived from individual connection tests, and the behavior and capacity might differ in a full roof system due to potential load-sharing effects and the presence of sheathing and other structural elements",1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.straps.007,0,Peak Internal Force,kN,0,1,normal,12.21,0.12,Roof-Wall Connection with Toe nails and a large strap inside,"This connection (Test Series 8) was constructed with three 8d common toenails between the rafter and top plate, along with a new large 16-gauge galvanized steel strap secured with eight short 8d common nails into the rafter and eight short 8d common nails into the wall stud (spruce-pine-fir). The strap was located on the inside of the wall. Materials included Southern yellow pine double top plates and Southern yellow pine or spruce-pine-fir rafters (#2 grade) at a 3:12 pitch. The predominant failure mode observed for this configuration was block shear in wood. 

LIMITATIONS: A key limitation is that this 'new large strap' provided a direct connection from the rafter to the wall stud, bypassing the top plate for the strap's nailed connection, which is different from typical large straps. As with individual tests, results may not fully reflect the behavior in a complete roof system",1 EA,1,reed1997,Tension from uplift
RWC.epoxy.001,0,Peak Internal Force,kN,0,1,normal,7.53,0.37,Roof-Wall Connection with Epoxy.,"This connection (Test Series 9), using no toe nails, was formed by applying a two-part, hand-mixed epoxy paste between the rafter and top plate, allowed to cure for one week. Materials included Southern yellow pine double top plates and Southern yellow pine or spruce-pine-fir rafters (#2 grade) at a 3:12 pitch. The predominant failure modes observed were rafter split and top-plate fibers pulling apart. 

LIMITATIONS: High variability was observed, suggesting that the capacity of such connections may be less predictable compared to mechanically fastened connections. Performance of adhesive connections can be sensitive to factors such as surface preparation, application technique, and environmental conditions during curing.",1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.epoxy.001,0,Peak Internal Force,kN,0,1,normal,7.98,0.29,Roof-Wall Connection with Toe nails and epoxy.,"This connection (Test Series 10) was created by applying a two-part, hand-mixed epoxy paste between the rafter and top plate, with three 8d common toenails installed while the epoxy was still wet. The epoxy cured for one week before testing. Materials included Southern yellow pine double top plates and Southern yellow pine or spruce-pine-fir rafters (#2 grade) at a 3:12 pitch. The predominant failure mode observed in this test series was top-plate fibers pulling apart. 

LIMITATIONS: A key limitation is the relatively high variability in the capacity data. The specific interaction between the wet epoxy and the toenails and reliance on this particular epoxy product and application method are factors to consider.",1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.epoxy.002,0,Peak Internal Force,kN,0,1,normal,6.55,0.16,Roof-Wall Connection with Toe nails and epoxy on small wood blocks.,"This connection (Test Series 11, exploring retrofit) involved three 8d common toenails along with epoxy applied to small wood blocks (approximately 38 x 89 mm, made of either spruce-pine-fir or Southern pine) placed between the rafter and top plate. The epoxy was allowed to set for one week before testing. Materials included Southern yellow pine double top plates and Southern yellow pine or spruce-pine-fir rafters (#2 grade) at a 3:12 pitch. The predominant failure modes observed were rafter split, tearing of top-plate and rafter fibers, failure of wood block fibers, and epoxy failure. 

LIMITATIONS: Use of standardized small wood blocks might not fully represent actual retrofit applications. One-week epoxy set time is specific; performance might differ with shorter or longer cure times or different epoxy products.",1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.epoxy.003,0,Peak Internal Force,kN,0,1,normal,6.11,0.19,Roof-Wall Connection with Toe nails and epoxy on small wood blocks.,"This connection (Test Series 12, exploring retrofit) included three 8d common toenails along with epoxy applied to small wood blocks (approximately 38 x 89 mm, made of either spruce-pine-fir or Southern pine) placed between the rafter and top plate. The epoxy was allowed to set for only 24 to 48 hours before testing. Materials included Southern yellow pine double top plates and Southern yellow pine or spruce-pine-fir rafters (#2 grade) at a 3:12 pitch. The predominant failure modes observed were rafter split, tearing of top-plate and rafter fibers, failure of wood block fibers, and epoxy failure. 

LIMITATIONS: Use of standardized small wood blocks might not fully represent actual retrofit applications. The short 24-48 hour epoxy set time is specific; performance might vary with different products or cure durations. As with other individual tests, results might not entirely reflect the behavior within a complete roof system",1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.epoxy.004,0,Peak Internal Force,kN,0,1,normal,9.67,0.34,Roof-Wall Connection with Toe nails and epoxy on large wood blocks.,"This connection (Test Series 13, exploring retrofit) consisted of three 8d common toenails in addition to epoxy applied to large wood blocks (approximately 89 x 89 mm, made of pressure-treated Southern pine) installed between the rafter and top plate. The epoxy was allowed to cure for one week before the connections were tested. Materials included Southern yellow pine double top plates and Southern yellow pine or spruce-pine-fir rafters (#2 grade) at a 3:12 pitch. The predominant failure modes observed in this test series were top-plate and rafter fiber tear, and wood block split. 

LIMITATIONS: Use of standardized large wood blocks might not fully represent actual retrofit applications. One-week epoxy set time is specific; performance might differ with various epoxy products or cure durations. As with individual tests, results might not entirely reflect the behavior within a complete roof system. Note that larger blocks were shown to provide greater capacity than small blocks",1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.adhesive.001,0,Peak Internal Force,kN,0,1,normal,6.6,0.19,Roof-Wall Connection with Toe nails and acrylic adhesive,"This connection (Test Series 14) involved the application of a two-part acrylic adhesive through a diffuser nozzle between the rafter and top plate, immediately followed by the installation of three 8d common toenails while the adhesive was wet. The adhesive was allowed to set for one week before testing. Materials included Southern yellow pine double top plates and Southern yellow pine or spruce-pine-fir rafters (#2 grade) at a 3:12 pitch. The predominant failure modes observed in this test series were toe-nail pullout and top-plate fiber tear. 

LIMITATIONS: Results are based on individual connection tests and may not reflect behavior in a complete roof system where load-sharing and sheathing presence influence performance. Performance is specific to the type of acrylic adhesive, application method (wet toenails), and cure time.",1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.adhesive.002,0,Peak Internal Force,kN,0,1,normal,4.95,0.33,Roof-Wall Connection with Toe nails and soaked with acrylic adhesive.,"In this setup (Test Series 15), the wood members (rafter and top plate) were first soaked for 24 hours prior to the application of a two-part acrylic adhesive through a diffuser nozzle between them, followed immediately by the installation of three 8d common toenails while the adhesive was wet. The adhesive was then allowed to set for one week before testing. Materials included Southern yellow pine double top plates and Southern yellow pine or spruce-pine-fir rafters (#2 grade) at a 3:12 pitch. The predominant failure modes observed in this test series were toe-nail pullout and top-plate fiber tear. 

LIMITATIONS: A significant limitation is the high coefficient of variation, indicating considerable variability in the uplift capacity achieved. Soaking the wood makes these results specific to this pre-treatment. Results may not fully capture the behavior within a complete roof system.",1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.adhesive.003,0,Peak Internal Force,kN,0,1,normal,5.21,0.21,Roof-Wall Connection with Toe nails and acrylic adhesive on small wood blocks.,"This connection (Test Series 16, exploring retrofit) was created using three 8d common toenails along with a two-part acrylic adhesive applied through a diffuser nozzle to small wood blocks (approximately 38 x 89 mm, made of either spruce-pine-fir or Southern pine) placed between the rafter and top plate. The acrylic adhesive was allowed to set for one week before the connections were tested. Materials included Southern yellow pine double top plates and Southern yellow pine or spruce-pine-fir rafters (#2 grade) at a 3:12 pitch. The predominant failure modes observed in this test series were rafter split and top-plate fiber tear. 

LIMITATIONS: Use of standardized small wood blocks as a retrofit method might not fully represent actual applications. One-week adhesive set time is specific; performance might differ with various acrylic adhesive products or cure durations. As with individual tests, results might not entirely reflect the behavior within a complete roof system.",1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.adhesive.004,0,Peak Internal Force,kN,0,1,normal,2.81,0.17,Roof-Wall Connection with Toe nails and 1/4 inch acrylic adhesive bead,"This connection (Test Series 17) consisted of three 8d common toenails along with a 1/4 inch bead of acrylic adhesive applied on either side of the rafter along the top plate. The adhesive was allowed to set for one week before the uplift capacity was tested. Materials included Southern yellow pine double top plates and Southern yellow pine or spruce-pine-fir rafters (#2 grade) at a 3:12 pitch. The predominant failure mode observed in this test series was wood fiber failure. 

LIMITATIONS: The connection method using small adhesive beads might not provide a substantial contact area, potentially limiting overall uplift capacity. Performance is specific to the application of a 1/4 inch acrylic adhesive bead. As with individual tests, results may not entirely reflect behavior within a complete roof system.""",1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.adhesive.005,0,Peak Internal Force,kN,0,1,normal,4.1,0.31,Roof-Wall Connection with Toe nails and 1/2 inch acrylic adhesive bead,"This connection (Test Series 18 in reed1997) was created using three 8d common toenails along with a 1/2 inch bead of acrylic adhesive applied on either side of the rafter along the top plate. The adhesive was allowed to set for one week before the uplift capacity was tested. Materials included Southern yellow pine double top plates and Southern yellow pine or spruce-pine-fir rafters (#2 grade) at a 3:12 pitch. The predominant failure mode observed in this test series was wood fiber failure. 

LIMITATIONS: The connection method using small adhesive beads might not provide a substantial contact area, potentially limiting overall uplift capacity, and the relatively high coefficient of variation indicates considerable variability. Performance is specific to the application of a 1/2 inch acrylic adhesive bead. As with individual tests, results may not entirely reflect behavior within a complete roof system.",1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.adhesive.006,0,Peak Internal Force,kN,0,1,normal,3.79,0.09,Roof-Wall Connection with Toe nails and foaming polyurethane adhesive.,"This connection (Test Series 19) consisted of three 8d common toenails along with a foaming polyurethane adhesive product generously applied using an air pressure gun to form large fillets. The adhesive was allowed to set for one week before the uplift capacity was tested. Materials included Southern yellow pine double top plates and Southern yellow pine or spruce-pine-fir rafters (#2 grade) at a 3:12 pitch. The predominant failure mode observed in this test series was adhesive shear. 

LIMITATIONS: The small sample size of only three specimens might not provide a comprehensive understanding of the connection's behavior and could affect the statistical significance of the results. Performance is specific to the foaming polyurethane adhesive product and application method. As with individual tests, results may not entirely reflect the behavior within a complete roof system",1 EA,1,reed1997,Tension from uplift
RWC.toe_nail.002,0,Peak Internal Force,kN,0,1,normal,12.56,0.1,Roof-Wall Connection with Toe nails and Simpson Strong-Tie H10.,"The roof-to-wall connection using toenails and a Simpson Strong-Tie H10 metal connector on every truss. The capacity function for this connection type is based on tests conducted at Clemson University. The primary modeled failure mode for this reinforced connection is the exceedance of this higher uplift resistance by wind-induced forces, which, if it occurs, could still lead to roof uplift or detachment and compromise the building envelope. The Simpson Strong-Tie H10 metal connector is identified as a component used to enhance roof-to-wall connections, thereby increasing their resistance to uplift forces. The use of the Simpson Strong-Tie H10 connector is also associated with the ""Reinforce roof-to-wall connections (IBHS Gold)"" retrofit strategy. This strategy aims to provide an uplift connection for each roof support member to the bearing wall by adding metal connectors, described generally as ""hurricane straps"".

LIMITATIONS: Limitations of this capacity function are not explicitly detailed in the provided text, but it is important to note that as it is based on unpublished tests at a specific university and assumes the use of Simpson Strong-Tie H10 connectors on every truss, its accuracy in representing the full spectrum of real-world installations and conditions might be limited by variations in construction quality, specific connector installation details, and the age and condition of the underlying structural members, none of which are addressed within these sources. They also do not offer a detailed description of the connector's physical characteristics or design.",1 EA,1,"peng2013,gurley2005",Tension from uplift
RWC.hurricane_clip.001a,0,Peak Internal Force,kN,0,1,normal,5.836,0.1,Roof-Wall Connection with Hurricane Clip H2.5.,,1 EA,1,"li2006,canfield1991",Tension from uplift
RWC.hurricane_clip.001b,0,Peak Internal Force,kN,0,1,normal,5.391,0.15,Roof-Wall Connection with Hurricane Clip H2.5.,,1 EA,1,"li2006,canfield1991",Tension from uplift
RWC.toe_nail.003,0,Peak Internal Force,kN,0,1,normal,1.51,0.36,"Roof-Wall Connection with Toe nails, 2-16d layout.",,1 EA,1,shanmugam2009,Tension from uplift
RWC.toe_nail.004,0,Peak Internal Force,kN,0,1,normal,1.83,0.34,"Roof-Wall Connection with Toe nails, 3-8d layout.",,1 EA,1,"li2006,reed1997",Tension from uplift
RWC.toe_nail.005,0,Peak Internal Force,kN,0,1,normal,1.97,0.38,"Roof-Wall Connection with Toe nails, 3-16d layout.",,1 EA,1,"jain2020,shanmugam2009",Tension from uplift
RWC.toe_nail.006a,0,Peak Internal Force,kN,0,1,normal,1.56,0.164,"Roof-Wall Connection with Toe nails, 2-16d layout, box nails.",,1 EA,1,"shanmugam2009,cheng2004",Tension from uplift
RWC.toe_nail.006b,0,Peak Internal Force,kN,0,1,normal,2.59,0.212,"Roof-Wall Connection with Toe nails, 2-16d layout, box nails.",,1 EA,1,"shanmugam2009,cheng2004",Tension from uplift
RWC.toe_nail.006c,0,Peak Internal Force,kN,0,1,normal,2.69,0.155,"Roof-Wall Connection with Toe nails, 2-16d layout, box nails.",,1 EA,1,"shanmugam2009,cheng2004",Tension from uplift
WIN.regular.001a,0,Peak Wind Pressure,kPa,0,1,normal,3.35,0.3,Regular Window - General fragility,"This window capacity is taken from the 2005 version of the Florida Public Hurricane Loss Model (FPHLM). The modeled failure mode for this window configuration is implicitly defined as the exceedance of its pressure resistance by wind loads calculated for a given hurricane scenario.

LIMITATIONS: Limitations of this capacity function are not explicitly discussed in the provided text, but it is important to recognize that the model likely uses a simplified representation of window performance, and the actual failure of standard windows in a hurricane can be influenced by a variety of factors not detailed in these excerpts, such as the size and type of the window, the quality of installation, and the impact of wind-borne debris (though debris damage is modeled separately in the study).",1 EA,1,"peng2013,gurley2005",Glass breaking
WIN.regular.001b,0,Peak Wind Pressure,kPa,0,1,normal,2.4,0.2,Regular Window - General fragility,,1 EA,1,"gurley2005,unnikrishnan2017,jain2020",Glass breaking
WIN.regular.001c,0,Peak Interstory Drift Ratio,unitless,0,1,lognormal,0.2,0.2,Regular Window - General fragility,,1 EA,1,lin2019,Glass breaking
WIN.regular.002a,0,Peak Wind Pressure,kPa,0,1,lognormal,1.8,0.2,Regular Window on windward wall,,1 EA,1,lin2019,Glass breaking
WIN.regular.002b,0,Peak Wind Pressure,kPa,0,1,lognormal,3.6,0.2,Regular Window on non-windward wall,,1 EA,1,lin2019,Glass breaking
WIN.regular.003a,0,Peak Wind Pressure,kPa,0,1,weibull,2.629,4.7,Window on a 1-story building,"This capacity function is used for all windows on a 1-story home. Modeled failure modes for windows on a 1-story building include pressure-induced breakage when the wind load exceeds the window's pressure resistance.

LIMITATIONS: This study does not explicitly specify the type of glass (e.g., annealed, tempered). A limitation of these capacity functions is that they are statistical representations based on laboratory test data, engineering analyses, and in some cases engineering judgment, which may not fully capture the complexities of real-world window installations, the variability in material properties, and the diverse characteristics of windborne debris. The model also simplifies by considering representative building geometries and may not account for specific details of individual windows on a given 1-story structure. The specific size of the window described in the capacity function is not mentioned.",1 EA,1,vickery2006,Glass breaking
WIN.regular.003b,0,Peak Wind Pressure,kPa,0,1,weibull,1.853,4.8,Window on a 2-story building with 2 large windows,"This capacity function is used for all windows on a 2-story home. Modeled failure modes for windows on a 2-story building include pressure-induced breakage when the wind load exceeds the window's pressure resistance.

LIMITATIONS: This study does not explicitly specify the type of glass (e.g., annealed, tempered). A limitation of these capacity functions is that they are statistical representations based on laboratory test data, engineering analyses, and in some cases engineering judgment, which may not fully capture the complexities of real-world window installations, the variability in material properties, and the diverse characteristics of windborne debris. The model also simplifies by considering representative building geometries and may not account for specific details of individual windows on a given 2-story structure. The specific size of the window described in the capacity function is not mentioned.",1 EA,1,vickery2006,Glass breaking
WIN.impact_resistant.001,0,Peak Wind Pressure,kPa,0,1,normal,6.7,0.3,Impact resistant laminated glass window,"This window capacity is taken from the 2005 version of the Florida Public Hurricane Loss Model (FPHLM). The modeled failure mode for this window configuration is implicitly defined as the exceedance of its pressure resistance by wind loads calculated for a given hurricane scenario. This configuration aims to increase window and door pressure capacity (resistance). Furthermore, for homes with this type of opening protection, the probability of debris damage is reduced. 

LIMITATIONS: Limitations of this capacity function are not explicitly detailed within these excerpts, but it's reasonable to assume that the FPHLM likely relies on standardized testing procedures and that real-world performance could still vary based on factors such as the specific manufacturer and installation quality of the impact-resistant windows, which are not elaborated upon in this dissertation.",1 EA,1,"gurley2005,peng2013",Glass breaking
WIN.shutters.001,0,Peak Wind Pressure,kPa,0,1,normal,5.03,0.3,Regular Window with Hurricane Shutters,"This window capacity is taken from the 2005 version of the Florida Public Hurricane Loss Model (FPHLM). Implementing engineered shutters on all windows is also identified as a key component of the ""Protect openings (shutters) (IBHS Silver)"" retrofit strategy, which aims to increase the window and door pressure capacity (resistance). Additionally, for this configuration, the probability of debris damage is modeled as zero. The modeled failure mode for this window protection type would be the wind load exceeding the pressure resistance of the shutters, leading to potential failure of the window. 

LIMITATIONS: Limitations of this capacity function are not explicitly discussed within the provided text, but it is important to acknowledge that real-world performance can vary based on the specific type and quality of the shutters, the installation methods, and the condition of the underlying window frame, details of which are not elaborated upon.",1 EA,1,"gurley2005,peng2013",Glass breaking
WIN.regular.004,0,Peak Wind Pressure,kPa,0,1,weibull,2.87,4.08,Regular Window 1/8 in 20 sq ft,"The study uses a light-frame residential building archetype to assess hurricane damage in Port St. Lucie, FL. Damage analysis described in this study does not explicitly model or account for the effects of wind-borne debris. The archetype building is 8.5m (28 ft) by 12.2m (40 ft), one story, with a mean roof height of 3.8m (12.5 ft). A window size of 3.72 square meters with 3.175 mm thick glass was considered. The authors used the American Society of Testing and Materials (ASTM) Standard E-1300 (2003) to specify the strength of annealed glass under uniform wind pressure with a 60-second load duration and a probability of failure of 0.0081. The 60-second resistance value of annealed glass was converted to a 3-second strength by multiplying it by a factor of 1.21. This conversion was done to be consistent with the 3-second gust wind used in ASCE-7. A Weibull cumulative distribution was used to model the probability of failure of the brittle material (glass) under uniform wind load. This is stated as a common model for defining the failure probability of brittle materials like glass. The coefficient of variation of glass strength was noted to be in the range of 0.22–0.27.

LIMITATIONS: The building archetype may not represent the diversity of real-world residential structures and ages within a community. Further, the study does not account for complex terrain effects on wind loads, potentially limiting the applicability of the findings to more varied real-world scenarios. Finally, the fragility analysis mentions a specific window size (3.175 mm in 3.72 sq. m window) for calibration. Glass strength is known to be dependent on size and boundary conditions, so the fragility derived for this specific size might not be directly applicable to windows of different dimensions or mounting.",1 EA,1,"norville1985,minor1998,li2006,dong2016",Glass breaking
WIN.regular.005a,0,Peak Wind Pressure,kPa,0,1,weibull,1.69,4.08,Regular Window 3/16 in 40 sq ft,,1 EA,1,"norville1985,minor1998,li2006",Glass breaking
WIN.regular.005b,0,Peak Wind Pressure,kPa,0,1,weibull,2.704,4.08,Regular Window 3/16 in 40 sq ft,,1 EA,1,"norville1985,minor1998,li2006",Glass breaking
WIN.regular.006,0,Peak Wind Pressure,kPa,0,1,weibull,5.071,4.08,Regular Window 3/16 in 20 sq ft,,1 EA,1,"norville1985,minor1998,li2006",Glass breaking
WIN.regular.007,0,Peak Wind Pressure,kPa,0,1,normal,5,0.2,Regular Window small sized (3.5' x 3.5'),,1 EA,1,"gurley2005,yau2011,barbato2013",Glass breaking
WIN.regular.008,0,Peak Wind Pressure,kPa,0,1,normal,3.33,0.2,Regular Window medium sized (3.5' x 5.0'),,1 EA,1,"gurley2005,grayson2013,kakareko2021",Glass breaking
WIN.regular.009,0,Peak Wind Pressure,kPa,0,1,normal,2.5,0.2,Regular Window tall sized (3.5' x 6.5'),,1 EA,1,"gurley2005,grayson2013",Glass breaking
WIN.regular.010,0,Peak Wind Pressure,kPa,0,1,normal,1.78,0.2,Regular Window picture size (6.5' x 6.5'),,1 EA,1,"gurley2005,grayson2013",Glass breaking
