"BldgDmgFnID","Default","Occupancy","Source","Description","ft04m","ft03m","ft02m","ft01m","ft00","ft01","ft02","ft03","ft04","ft05","ft06","ft07","ft08","ft09","ft10","ft11","ft12","ft13","ft14","ft15","ft16","ft17","ft18","ft19","ft20","ft21","ft22","ft23","ft24","Comment"
125,,"RES1 ","FIA","one floor, w/ basement, Structure, V-Zone",0,0,0,0,6,10,18,23,27,32,39,39,43,44,44,46,47,48,49,50,51,52,53,54,55,56,57,58,59,"NULL"
126,,"RES1 ","FIA","two floors, w/ basement, Structure, V-Zone",0,0,4,8,11,18,20,23,28,33,38,44,49,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,"NULL"
127,,"RES1 ","FIA","three or more floors, w/ basement, Structure, V-Zone",0,0,3,5,6,9,15,20,26,31,33,36,39,42,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,"NULL"
128,,"RES1 ","FIA","split level, w/ basement, Structure, V-Zone",0,0,0,5,6,16,19,22,27,32,35,42,48,50,52,54,56,58,59,60,61,62,63,64,65,66,67,68,69,"NULL"
129,1,"RES1 ","USACE - IWR","one story, no basement, Structure",0,0,0,3,13,23,32,40,47,53,59,63,67,71,73,75,77,79,80,81,81,82,82,83,83,83,84,84,84,"NULL"
130,,"RES1 ","USACE - IWR","two or more stories, no basement, Structure",0,0,0,3,9,15,21,26,31,36,41,45,49,52,56,59,61,64,66,68,69,70,71,72,73,74,74,75,75,"NULL"
131,,"RES1 ","USACE - IWR","split level, no basement, Structure",0,0,0,6,7,9,13,17,23,29,36,42,49,56,63,69,74,78,82,84,85,85,86,86,87,87,88,88,89,"NULL"
132,,"RES1 ","USACE - Chicago","one story, no basement, Structure",0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60,"NULL"
133,,"RES1 ","USACE - Chicago","one story, w/ basement, Structure",0,0,4,8,12,15,20,23,28,33,37,43,48,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,"NULL"
134,,"RES1 ","USACE - Chicago","split level, no basement, Structure",0,0,0,0,3,9,13,25,27,28,33,34,41,43,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,"NULL"
135,,"RES1 ","USACE - Chicago","split level, w/ basement, Structure",0,0,3,5,6,16,19,22,27,32,35,36,44,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,"NULL"
136,,"RES1 ","USACE - Chicago","two story, no basement, Structure",0,0,0,0,8,10,13,18,20,22,24,26,30,34,38,40,42,44,45,46,47,48,49,50,51,52,53,54,55,"NULL"
137,,"RES1 ","USACE - Chicago","two story, w/ basement, Structure",0,0,3,5,7,11,17,22,28,33,35,38,40,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,"NULL"
138,,"RES1 ","USACE - Galveston","one & 1/2 story, no basement, Structure",0,0,0,0,10,28,35,41,43,46,48,49,50,50,50,51,51,52,53,55,57,58,60,62,64,66,68,70,72,"NULL"
139,,"RES1 ","USACE - Galveston","one story, no basement, Structure",0,0,0,0,10,21,27,32,37,43,46,50,54,58,60,63,67,70,74,79,82,83,84,85,86,87,88,89,90,"NULL"
140,,"RES1 ","USACE - Galveston","two story, no basement, Structure",0,0,0,0,5,21,27,31,34,37,39,40,40,42,44,47,49,52,55,58,60,62,65,67,69,71,73,75,77,"NULL"
141,,"RES1 ","USACE - New Orleans","one story, Pier foundation, structure, fresh water, short duration",0,0,0,1,12,42,48,53,54,73,73,73,73,78,78,80,80,80,80,80,80,80,80,80,80,80,80,80,80,"NULL"
142,,"RES1 ","USACE - New Orleans","one story, Pier foundation, structure, fresh water, long duration",0,0,0,1,12,42,67,71,71,79,79,79,79,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,"NULL"
143,,"RES1 ","USACE - New Orleans","one story, Slab foundation, structure, fresh water, short duration",0,0,0,0,1,22,28,31,33,48,48,48,48,56,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,"NULL"
144,,"RES1 ","USACE - New Orleans","one story, Slab foundation, structure, fresh water, long duration",0,0,0,0,1,22,39,42,44,48,48,48,48,56,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,"NULL"
145,,"RES1 ","USACE - New Orleans","one story, Pier foundation, structure, salt water, short duration",0,0,0,1,13,46,53,58,59,80,80,80,80,86,86,88,88,88,88,88,88,88,88,88,88,88,88,88,88,"NULL"
146,,"RES1 ","USACE - New Orleans","one story, Pier foundation, structure, salt water, long duration",0,0,0,1,15,50,70,71,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,"NULL"
147,,"RES1 ","USACE - New Orleans","one story, Slab foundation, structure, salt water, short duration",0,0,0,0,1,23,31,35,36,53,53,53,53,62,62,64,64,64,64,64,64,64,64,64,64,64,64,64,64,"NULL"
148,,"RES1 ","USACE - New Orleans","one story, Slab foundation, structure, salt water, long duration",0,0,0,0,1,23,42,45,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,"NULL"
149,,"RES1 ","USACE - New Orleans","one story, Structure,  fresh water, short duration",0,0,0,0,0,42,58,78,84,87,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,"NULL"
150,,"RES1 ","USACE - New Orleans","one story, Structure,  fresh water, long duration",0,0,0,0,0,83,89,93,94,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,"NULL"
151,,"RES1 ","USACE - New Orleans","one story, Structure, salt water, short duration",0,0,0,0,0,50,66,81,86,90,91,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,"NULL"
152,,"RES1 ","USACE - New Orleans","one story, Structure, salt water, long duration",0,0,0,0,0,95,95,95,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,"NULL"
153,,"RES1 ","USACE - New Orleans","one story, Pier foundation, structure, fresh water, short duration",0,0,0,4,21,42,52,53,57,67,67,67,67,74,74,84,84,84,84,84,84,84,84,84,84,84,84,84,84,"NULL"
154,,"RES1 ","USACE - New Orleans","one story, Slab foundation, structure, fresh water, short duration",0,0,0,0,4,34,40,41,47,59,59,59,59,70,70,82,82,82,82,82,82,82,82,82,82,82,82,82,82,"NULL"
155,,"RES1 ","USACE - New Orleans","one story, Pier foundation, structure, salt water, long duration",0,0,0,4,21,62,66,66,69,72,72,72,72,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,"NULL"
156,,"RES1 ","USACE - New Orleans","one story, Slab foundation, structure, salt water, long duration",0,0,0,0,7,56,59,59,63,66,66,66,66,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,"NULL"
157,,"RES1 ","USACE - New Orleans","two story, Pier foundation, structure, fresh water, short duration",0,0,0,1,6,18,22,23,29,36,36,36,39,42,46,55,55,68,68,68,68,68,68,68,68,68,68,68,68,"NULL"
158,,"RES1 ","USACE - New Orleans","two story, Pier foundation, structure, fresh water, long duration",0,0,0,1,6,18,32,33,36,40,40,40,42,42,56,59,59,71,71,71,71,71,71,71,71,71,71,71,71,"NULL"
159,,"RES1 ","USACE - New Orleans","two story, Slab foundation, structure, fresh water, short duration",0,0,0,0,1,15,19,21,22,34,34,34,35,38,40,48,51,57,57,57,57,57,57,57,57,57,57,57,57,"NULL"
160,,"RES1 ","USACE - New Orleans","two story, Slab foundation, structure, fresh water, long duration",0,0,0,0,1,15,27,29,29,35,35,35,35,38,47,51,53,57,57,57,57,57,57,57,57,57,57,57,57,"NULL"
161,,"RES1 ","USACE - New Orleans","two story, Pier foundation, structure, salt water, short duration",0,0,0,1,6,19,25,25,31,39,39,39,43,46,51,60,60,75,75,75,75,75,75,75,75,75,75,75,75,"NULL"
162,,"RES1 ","USACE - New Orleans","two story, Pier foundation, structure, salt  water, long duration",0,0,0,1,6,19,33,33,93,93,93,93,93,93,94,94,94,97,97,97,97,97,97,97,97,97,97,97,97,"NULL"
163,,"RES1 ","USACE - New Orleans","two story, Slab foundation, structure, salt water, short duration",0,0,0,0,1,16,21,23,25,38,38,38,39,41,44,52,57,62,62,62,62,62,62,62,62,62,62,62,62,"NULL"
164,,"RES1 ","USACE - New Orleans","two story, Slab foundation, structure, salt water, long duration",0,0,0,0,1,16,27,29,80,80,80,80,80,80,80,80,80,83,83,83,83,83,83,83,83,83,83,83,83,"NULL"
165,,"RES1 ","USACE - New Orleans","two story, Structure, fresh water, short duration",0,0,0,0,0,38,50,67,73,76,78,78,78,78,78,86,88,91,92,92,92,92,92,92,92,92,92,92,92,"NULL"
166,,"RES1 ","USACE - New Orleans","two story, Structure,  fresh water, long duration",0,0,0,0,0,67,73,76,78,78,78,78,78,78,78,91,92,92,92,92,92,92,92,92,92,92,92,92,92,"NULL"
167,,"RES1 ","USACE - New Orleans","two story, Structure, salt water, short duration",0,0,0,0,0,45,57,70,75,79,80,83,83,83,83,91,94,98,98,99,99,99,99,99,99,99,99,99,99,"NULL"
168,,"RES1 ","USACE - New Orleans","two story, Structure,  salt water, long duration",0,0,0,0,0,70,75,79,80,83,83,83,83,83,83,98,98,99,99,99,99,99,99,99,99,99,99,99,99,"NULL"
169,,"RES1 ","USACE - New Orleans","two story, Pier foundation, structure, fresh water, short duration",0,0,0,4,12,25,33,34,36,42,42,42,42,53,62,66,66,67,71,71,71,71,71,71,71,71,71,71,71,"NULL"
170,,"RES1 ","USACE - New Orleans","two story, Slab foundation, structure, fresh water, long  duration",0,0,0,0,3,25,29,30,33,40,40,40,40,48,55,58,58,60,64,64,64,64,64,64,64,64,64,64,64,"NULL"
171,,"RES1 ","USACE - New Orleans","two story, Pier foundation, structure, salt  water, short duration",0,0,0,4,18,54,55,55,57,60,60,60,60,63,71,73,74,74,74,74,74,74,74,74,74,74,74,74,74,"NULL"
172,,"RES1 ","USACE - New Orleans","two story, Slab foundation, structure, salt water, long duration",0,0,0,0,5,44,46,50,52,52,52,52,52,56,66,68,68,70,70,70,70,70,70,70,70,70,70,70,70,"NULL"
173,,"RES1 ","USACE - St. Paul","one story, Structure",0,0,0,0,11,32,39,41,46,51,54,54,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,"NULL"
174,,"RES1 ","USACE - St. Paul","two story, Structure",0,0,0,0,6,18,20,22,25,27,29,29,32,36,45,45,45,47,49,49,49,49,49,49,49,49,49,49,49,"NULL"
175,,"RES1 ","USACE - Wilmington","one & 1/2 story, Pile foundation, structure",3,4,4,4,8,11,19,28,30,34,36,37,39,41,43,45,46,47,49,50,51,53,55,57,60,73,87,100,100,"NULL"
176,,"RES1 ","USACE - Wilmington","one & 1/2 story, Structure",1,1,1,1,8,11,18,22,25,29,32,34,37,39,42,44,45,47,48,50,51,53,55,57,60,65,70,75,75,"NULL"
177,,"RES1 ","USACE - Wilmington","one & 1/2 story w/ 1/2 living area below, Structure",0,0,0,0,1,3,4,6,8,9,11,13,15,21,27,35,37,41,43,46,49,51,53,55,57,71,86,100,100,"NULL"
178,,"RES1 ","USACE - Wilmington","one story, Pile foundation, structure",4,4,5,6,9,14,23,36,39,46,47,49,50,52,54,58,62,66,70,74,80,81,83,84,85,90,95,100,100,"NULL"
179,,"RES1 ","USACE - Wilmington","one story, Structure",1,1,1,1,9,14,23,28,32,36,39,43,46,49,52,56,60,64,68,73,80,81,83,84,85,85,85,85,85,"NULL"
180,,"RES1 ","USACE - Wilmington","one story w/ 1/2 living area below, Structure",0,0,1,1,1,4,6,8,10,12,14,17,20,21,32,42,45,49,53,57,61,63,64,66,68,78,89,100,100,"NULL"
181,,"RES1 ","USACE - Wilmington","one story w/ basement, Structure",4,4,5,8,10,14,22,26,28,33,37,41,45,49,54,57,60,63,69,74,80,84,84,85,85,90,95,100,100,"NULL"
182,,"RES1 ","USACE - Wilmington","split level, Structure",0,0,0,0,3,5,7,11,16,20,25,29,34,38,43,47,51,54,58,62,67,69,72,75,78,80,82,84,84,"NULL"
183,,"RES1 ","USACE - Wilmington","two story, Pile foundation, structure",3,3,3,4,7,9,15,23,25,29,31,32,34,35,37,40,44,48,51,55,57,60,62,65,68,78,89,100,100,"NULL"
184,,"RES1 ","USACE - Wilmington","two story, Structure",0,0,1,1,7,9,15,18,22,25,27,29,32,34,36,40,43,47,50,54,57,60,62,65,68,71,74,77,77,"NULL"
185,,"RES1 ","USACE - Wilmington","two story w/ 1/2 living area below, Structure",0,0,0,0,0,2,4,5,7,8,10,10,13,16,21,26,32,36,38,41,43,45,48,51,55,70,85,100,100,"NULL"
189,1,"RES2 ","FIA","Mobile home, structure, A-Zone",0,0,0,0,11,44,63,73,78,79,81,82,83,84,85,86,88,89,90,91,92,94,95,96,97,98,99,100,100,"NULL"
190,1,"RES2 ","FIA","Mobile home, structure, V-Zone",0,0,0,0,8,45,64,74,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,"NULL"
191,,"RES2 ","USACE - Chicago","Mobile Home, structure",0,0,0,0,10,44,63,73,78,80,81,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,"NULL"
192,,"RES2 ","USACE - Galveston","Mobile Home, structure",0,0,0,0,14,19,31,54,93,96,96,97,97,97,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,"NULL"
193,,"RES2 ","USACE - New Orleans","Mobile Home, structure, fresh water, short duration",0,0,0,6,10,45,46,46,50,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,"NULL"
194,,"RES2 ","USACE - New Orleans","Mobile Home, structure, fresh water, long duration",0,0,0,6,10,45,46,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,"NULL"
195,,"RES2 ","USACE - New Orleans","Mobile Home, structure, salt water, short duration",0,0,0,6,10,45,47,47,51,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,"NULL"
196,,"RES2 ","USACE - New Orleans","Mobile Home, structure, salt water, long duration",0,0,0,6,10,45,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,"NULL"
197,,"RES2 ","USACE - New Orleans","Mobile Home, structure, fresh water, short duration",0,0,0,0,0,38,56,69,80,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,"NULL"
198,,"RES2 ","USACE - New Orleans","Mobile Home, structure, fresh water, long duration",0,0,0,0,0,85,95,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,"NULL"
199,,"RES2 ","USACE - New Orleans","Mobile Home, structure, salt water, short duration",0,0,0,0,0,45,64,71,82,92,92,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,"NULL"
200,,"RES2 ","USACE - New Orleans","Mobile Home, structure, salt water, long duration",0,0,0,0,0,96,98,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"NULL"
201,,"RES2 ","USACE - New Orleans","Mobile Home, structure, fresh water, short duration",0,0,0,1,17,45,49,49,52,57,58,58,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,"NULL"
202,,"RES2 ","USACE - New Orleans","Mobile Home, structure, salt water, long duration",0,0,0,12,32,64,66,66,66,66,66,66,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,"NULL"
203,,"RES2 ","USACE - Wilmington","Mobile Home, structure",1,1,2,3,8,27,42,60,93,96,96,97,97,97,98,98,98,98,99,99,99,99,99,99,100,100,100,100,100,"NULL"
204,1,"RES3 ","USACE - Chicago","Apartment Unit Grade, Structure",0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60,"NULL"
205,1,"RES3 ","USACE - Chicago","Apartment Unit Sub-Grade, Structure",0,0,4,8,12,15,20,23,28,33,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,"NULL"
206,,"RES3 ","USACE - Galveston","Apartment, living area on one floor, Structure",0,0,0,0,5,18,25,30,34,38,41,43,46,48,50,52,54,55,57,59,59,60,63,65,66,67,68,69,70,"NULL"
207,,"RES3 ","USACE - Galveston","Condominium, living area on multiple floors, Structure",0,0,0,0,5,28,29,31,36,37,39,40,41,42,44,46,48,52,55,58,61,64,68,69,70,71,72,73,74,"NULL"
208,,"RES3 ","USACE - Wilmington","Apartments, Structure",10,11,12,14,15,20,21,23,25,29,32,35,38,42,46,51,55,58,61,65,70,74,78,83,87,91,96,100,100,"NULL"
209,1,"RES4 ","USACE - Galveston","Average Hotel & Motel, structure",0,0,0,0,0,3,5,6,7,9,12,14,18,21,26,31,36,41,46,50,54,58,62,66,70,74,78,82,86,"NULL"
210,,"RES4 ","USACE - Galveston","Hotel, structure",0,0,0,0,0,1,2,2,2,3,5,6,9,11,15,18,22,26,30,34,39,43,48,53,58,63,68,73,78,"NULL"
211,,"RES4 ","USACE - Galveston","Motel Unit, structure",0,0,0,0,0,4,7,10,12,15,18,22,26,31,37,43,50,56,61,65,69,72,76,79,82,85,88,91,94,"NULL"
212,,"RES4 ","USACE - Wilmington","Hotel, structure",0,0,0,0,11,21,30,37,42,47,51,56,61,66,70,75,79,84,88,92,96,100,100,100,100,100,100,100,100,"NULL"
213,,"RES4 ","USACE - Wilmington","Motel, structure",0,0,0,0,10,16,21,28,36,46,54,63,70,73,75,77,79,81,83,85,87,89,91,93,95,97,99,100,100,"NULL"
214,1,"RES5 ","USACE - Galveston","Average institutional dormitory, structure",0,0,0,0,0,7,10,14,15,15,16,18,20,23,26,30,34,38,42,47,52,57,62,67,72,77,82,87,92,"RES6 default"
215,1,"RES6 ","USACE - Galveston","Nursing Home, structure",0,0,0,0,0,7,10,14,15,15,16,18,20,23,26,30,34,38,42,47,52,57,62,67,72,77,82,87,92,"NULL"
216,,"RES6 ","USACE - Wilmington","Rest Home, structure",0,0,0,0,12,21,27,34,41,49,55,62,68,73,78,83,88,93,98,100,100,100,100,100,100,100,100,100,100,"NULL"
217,1,"COM1 ","USACE - Galveston","Average Retail, Structure",0,0,0,0,1,9,14,16,18,20,23,26,30,34,38,42,47,51,55,58,61,64,67,69,71,74,76,78,80,"NULL"
218,,"COM1 ","USACE - Galveston","Antique, structure",0,0,0,0,0,17,17,18,19,21,23,25,28,32,35,39,43,47,52,56,61,65,70,75,80,85,90,95,100,"NULL"
219,,"COM1 ","USACE - Galveston","Auto Dealer Big, structure",0,0,0,0,0,17,17,18,19,21,23,25,28,32,35,39,43,49,52,56,61,65,70,75,80,85,90,95,100,"NULL"
220,,"COM1 ","USACE - Galveston","Bait Stand, structure",0,0,0,0,0,1,2,5,8,12,17,22,28,36,43,50,58,66,75,83,92,100,100,100,100,100,100,100,100,"NULL"
221,,"COM1 ","USACE - Galveston","Bakery, structure",0,0,0,0,12,17,21,25,28,31,34,36,38,41,43,45,47,48,50,52,54,55,57,59,61,63,65,67,69,"NULL"
222,,"COM1 ","USACE - Galveston","Boat Sales/Service, structure",0,0,0,0,14,20,32,33,34,36,38,42,50,56,60,63,67,70,73,76,78,81,84,86,88,90,92,94,96,"NULL"
223,,"COM1 ","USACE - Galveston","Book Store, structure",0,0,0,0,0,2,3,5,8,10,12,15,17,20,23,27,31,35,40,45,50,55,60,66,71,76,81,86,91,"NULL"
224,,"COM1 ","USACE - Galveston","Camera Store, structure",0,0,0,0,0,3,7,7,7,9,11,14,17,20,23,26,30,33,37,40,44,48,52,57,61,65,69,73,77,"NULL"
225,,"COM1 ","USACE - Galveston","Carpet and Paint Shop, structure",0,0,0,0,0,0,60,60,60,60,60,60,60,60,60,60,80,80,80,80,80,80,80,80,80,80,80,80,80,"NULL"
226,,"COM1 ","USACE - Galveston","Clothing-Mens, structure",0,0,0,0,0,8,10,11,13,15,18,21,24,28,32,37,41,46,51,56,61,66,71,76,81,86,91,96,100,"NULL"
227,,"COM1 ","USACE - Galveston","Crafts, structure",0,0,0,0,0,20,22,24,26,27,28,29,30,40,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,"NULL"
228,,"COM1 ","USACE - Galveston","Drug Store, structure",0,0,0,0,0,1,5,5,5,7,8,11,14,18,22,27,33,38,45,51,57,63,68,73,78,83,88,93,98,"NULL"
229,,"COM1 ","USACE - Galveston","Fabric Store, structure",0,0,0,0,0,15,20,30,35,40,45,50,60,70,80,85,90,95,100,100,100,100,100,100,100,100,100,100,100,"NULL"
230,,"COM1 ","USACE - Galveston","Feed Store, structure",0,0,0,0,0,20,24,28,32,34,36,38,40,42,44,46,48,50,50,50,50,50,50,50,50,50,50,50,50,"NULL"
231,,"COM1 ","USACE - Galveston","Flea Market, structure",0,0,0,0,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"NULL"
232,,"COM1 ","USACE - Galveston","Florist, structure",0,0,0,0,0,7,7,8,9,11,13,16,19,22,26,30,34,38,42,46,51,55,60,64,68,72,76,80,84,"NULL"
233,,"COM1 ","USACE - Galveston","Fruit Stand, structure",0,0,0,0,0,1,2,5,8,12,17,22,28,36,43,50,58,66,75,83,92,100,100,100,100,100,100,100,100,"NULL"
234,,"COM1 ","USACE - Galveston","Large Furniture, structure",0,0,0,0,0,2,4,4,5,6,7,9,11,14,17,21,25,29,33,37,42,46,51,55,59,63,67,71,75,"NULL"
235,,"COM1 ","USACE - Galveston","Gas/Butane Supply, structure",0,0,0,0,17,17,17,17,23,32,45,55,61,66,69,73,76,78,80,82,85,86,87,89,91,93,95,97,99,"NULL"
236,,"COM1 ","USACE - Galveston","Gift Shop, structure",0,0,0,0,0,5,8,9,9,9,11,14,18,24,31,40,50,58,64,69,73,77,80,83,86,89,92,95,98,"NULL"
237,,"COM1 ","USACE - Galveston","Greenhouse, structure",0,0,0,0,0,5,11,16,21,26,31,37,42,47,52,56,61,65,70,74,78,81,84,87,90,93,96,99,100,"NULL"
238,,"COM1 ","USACE - Galveston","Small Grocery, structure",0,0,0,0,0,20,22,24,26,28,30,32,34,36,38,39,40,43,47,50,50,50,50,50,50,50,50,50,50,"NULL"
239,,"COM1 ","USACE - Galveston","Medium Grocery, structure",0,0,0,0,0,3,4,5,6,7,10,14,20,29,37,44,50,55,59,63,67,71,75,78,82,86,90,94,98,"NULL"
240,,"COM1 ","USACE - Galveston","Gun Shop, structure",0,0,0,0,0,10,10,10,11,12,13,14,16,18,20,22,25,29,34,41,50,58,63,68,73,78,83,88,93,"NULL"
241,,"COM1 ","USACE - Galveston","Hardware, structure",0,0,0,0,0,12,12,12,12,12,12,14,15,18,21,25,30,35,40,46,52,58,64,70,76,82,88,94,100,"NULL"
242,,"COM1 ","USACE - Galveston","Hobby Shop, structure",0,0,0,0,0,18,20,20,20,20,20,22,27,33,39,44,49,53,58,62,66,69,73,77,81,85,89,93,97,"NULL"
243,,"COM1 ","USACE - Galveston","Lawnmower, structure",0,0,0,0,0,12,13,15,16,17,18,21,25,30,35,42,50,57,63,67,72,75,79,82,85,88,91,94,97,"NULL"
244,,"COM1 ","USACE - Galveston","Liquor Store, structure",0,0,0,0,0,1,1,2,2,3,5,6,8,11,16,22,29,39,50,60,67,72,77,80,83,86,89,92,95,"NULL"
245,,"COM1 ","USACE - Galveston","Meat Market, structure",0,0,0,0,0,10,10,10,11,12,14,17,23,31,38,44,50,55,61,66,71,75,79,83,87,91,95,99,100,"NULL"
246,,"COM1 ","USACE - Galveston","Motorcycle Dealer, structure",0,0,0,0,0,20,25,30,35,40,45,50,60,70,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,"NULL"
